公道,gōng dào,"công bằng, hợp lý",这个建议很公道。,Đề nghị này rất hợp lý.
宫殿,gōng diàn,cung điện,这座宫殿非常壮丽。,Cung điện này rất tráng lệ.
工夫,gōng fu,"công phu, thời gian",他有很多空闲的工夫。,Anh ấy có nhiều thời gian rảnh rỗi.
公告,gōng gào,thông báo,他们发布了公告。,Họ đã công bố thông báo.
公关,gōng guān,quan hệ công chúng,公关人员正在处理这个问题。,Nhân viên quan hệ công chúng đang xử lý vấn đề này.
攻击,gōng jī,tấn công,我们必须攻击敌人。,Chúng ta phải tấn công kẻ thù.
供给,gōng jǐ,cung cấp,我们会及时供给物资。,Chúng tôi sẽ cung cấp vật liệu kịp thời.
恭敬,gōng jìng,"kính cẩn, cung kính",他对长辈很恭敬。,Anh ấy rất kính trọng người lớn.
功课,gōng kè,"bài tập, môn học",我每天都有很多功课。,Tôi có rất nhiều bài tập mỗi ngày.
攻克,gōng kè,"công phá, chinh phục",我们攻克了技术难题。,Chúng tôi đã chinh phục được vấn đề kỹ thuật.
功劳,gōng láo,công lao,他的功劳很大。,Công lao của anh ấy rất lớn.
公民,gōng mín,công dân,每个公民都有责任。,Mỗi công dân đều có trách nhiệm.
公婆,gōng pó,cha mẹ chồng,我的公婆住在一起。,Tôi sống cùng bố mẹ chồng.
公然,gōng rán,công khai,他公然违背了规定。,Anh ấy công khai vi phạm quy định.
公认,gōng rèn,công nhận,这种产品得到了公认。,Sản phẩm này đã được công nhận.
公式,gōng shì,công thức,数学公式很重要。,Công thức toán học rất quan trọng.
公务,gōng wù,"công vụ, công tác",他是公务员。,Anh ấy là công chức.
功效,gōng xiào,hiệu quả,这种药物的功效很好。,Hiệu quả của loại thuốc này rất tốt.
工艺品,gōng yì pǐn,đồ thủ công mỹ nghệ,我喜欢收集工艺品。,Tôi thích sưu tầm đồ thủ công mỹ nghệ.
公正,gōng zhèng,"công bằng, chính trực",他是一个公正的人。,Anh ấy là một người công bằng.
公证,gōng zhèng,công chứng,我们需要去公证处。,Chúng tôi cần đến văn phòng công chứng.
巩固,gǒng gù,củng cố,我们要巩固我们的成果。,Chúng ta cần củng cố kết quả của mình.
共和国,gòng hé guó,nước cộng hòa,中国是中华人民共和国。,Trung Quốc là Cộng hòa Nhân dân Trung Hoa.
共计,gòng jì,tổng cộng,我们这次旅游共计花费了五千元。,Chuyến du lịch lần này của chúng tôi tổng cộng chi phí năm nghìn nhân dân tệ.
共鸣,gòng míng,"cộng hưởng, đồng cảm",这首歌引起了许多人的共鸣。,Bài hát này đã gây được sự đồng cảm từ nhiều người.
勾结,gōu jié,"cấu kết, thông đồng",他们被发现与敌人勾结。,Họ bị phát hiện câu kết với kẻ thù.
钩子,gōu zi,"cái móc, cái lưỡi câu",他用钩子把门锁打开了。,Anh ấy dùng móc mở khóa cửa.
构思,gòu sī,"cấu tứ, suy nghĩ",他正在构思一个新的小说。,Anh ấy đang phác thảo một tiểu thuyết mới.
孤独,gū dú,"cô độc, cô đơn",她感到非常孤独。,Cô ấy cảm thấy rất cô đơn.
辜负,gū fù,"phụ lòng, phụ sự kỳ vọng",他辜负了我们的期望。,Anh ấy đã phụ lòng mong đợi của chúng tôi.
孤立,gū lì,"cô lập, đơn độc",她被同事们孤立了。,Cô ấy bị đồng nghiệp cô lập.
姑且,gū qiě,"tạm thời, tạm thời cứ",姑且试试这个方法吧。,Tạm thời thử phương pháp này xem sao.
股东,gǔ dōng,cổ đông,股东们决定增加投资。,Các cổ đông quyết định tăng thêm đầu tư.
古董,gǔ dǒng,"cổ vật, đồ cổ",这件古董非常珍贵。,Cổ vật này rất quý giá.
鼓动,gǔ dòng,"cổ động, kích động",他努力鼓动大家参加活动。,Anh ấy cố gắng cổ vũ mọi người tham gia hoạt động.
股份,gǔ fèn,cổ phần,公司的股份上涨了。,Cổ phần của công ty đã tăng.
骨干,gǔ gàn,"nòng cốt, trụ cột",他是公司里的骨干员工。,Anh ấy là nhân viên nòng cốt trong công ty.
古怪,gǔ guài,"kỳ quái, kỳ lạ",他的行为很古怪。,Hành vi của anh ấy rất kỳ lạ.
顾虑,gù lǜ,"lo ngại, e ngại",我对这件事有些顾虑。,Tôi có một chút lo ngại về chuyện này.
固然,gù rán,"cố nhiên, dĩ nhiên",固然他很聪明，但还需要努力。,"Tất nhiên anh ấy rất thông minh, nhưng vẫn cần cố gắng."
顾问,gù wèn,cố vấn,他是公司的顾问。,Anh ấy là cố vấn của công ty.
故乡,gù xiāng,"cố hương, quê hương",我非常想念我的故乡。,Tôi rất nhớ quê hương của mình.
固有,gù yǒu,"vốn có, sẵn có",这种文化是我们固有的传统。,Văn hóa này là truyền thống vốn có của chúng tôi.
故障,gù zhàng,"trục trặc, hỏng hóc",机器出了故障。,Máy móc bị hỏng.
固执,gù zhí,"cố chấp, bướng bỉnh",他是个很固执的人。,Anh ấy là một người rất bướng bỉnh.
拐杖,guǎi zhàng,"gậy chống, gậy chống đi",他需要一根拐杖来行走。,Anh ấy cần một cây gậy để đi lại.
官方,guān fāng,"chính thức, của chính phủ",这是官方的声明。,Đây là tuyên bố chính thức.
观光,guān guāng,"tham quan, du lịch",我们打算去北京观光。,Chúng tôi định đi tham quan Bắc Kinh.
关照,guān zhào,"quan tâm, chăm sóc",谢谢你的关照。,Cảm ơn sự quan tâm của bạn.
管辖,guǎn xiá,"quản lý, cai quản",他负责管辖这个地区。,Anh ấy chịu trách nhiệm quản lý khu vực này.
罐,guàn,"bình, lọ, hũ",他喝了一罐啤酒。,Anh ấy đã uống một lon bia.
贯彻,guàn chè,quán triệt,我们需要贯彻执行这个计划。,Chúng ta cần thực hiện kế hoạch này triệt để.
灌溉,guàn gài,"tưới tiêu, tưới",农民们在灌溉田地。,Nông dân đang tưới tiêu ruộng đồng.
惯例,guàn lì,"thói quen, thông lệ",根据惯例，这个节日要庆祝三天。,"Theo thông lệ, lễ hội này kéo dài ba ngày."
光彩,guāng cǎi,"rực rỡ, vẻ vang",他的脸上充满了光彩。,Gương mặt anh ấy đầy ánh sáng rực rỡ.
光辉,guāng huī,"hào quang, ánh sáng",太阳的光辉照亮了整个城市。,Ánh sáng mặt trời chiếu sáng cả thành phố.
光芒,guāng máng,"tia sáng, ánh sáng",她的眼睛闪烁着光芒。,Đôi mắt cô ấy lấp lánh ánh sáng.
广阔,guǎng kuò,"rộng lớn, bao la",广阔的草原令人心旷神怡。,Đồng cỏ mênh mông khiến người ta cảm thấy thư thái.
规范,guī fàn,"quy phạm, quy tắc",我们要遵守规范。,Chúng ta phải tuân thủ các quy tắc.
规格,guī gé,"tiêu chuẩn, quy cách",产品的规格必须符合标准。,Quy cách của sản phẩm phải đạt tiêu chuẩn.
归根到底,guī gēn dào dǐ,"xét đến cùng, cuối cùng",归根到底，这是个态度问题。,"Cuối cùng thì, đây là vấn đề thái độ."
规划,guī huà,"quy hoạch, kế hoạch",我们正在规划明年的工作。,Chúng tôi đang lập kế hoạch cho công việc của năm tới.
归还,guī huán,"hoàn trả, trả lại",请归还借的书。,Vui lòng trả lại sách đã mượn.
归纳,guī nà,"quy nạp, tóm lại",这篇文章归纳了主要观点。,Bài viết này đã tóm tắt các điểm chính.
规章,guī zhāng,"quy định, quy tắc",我们要遵守公司的规章制度。,Chúng ta phải tuân thủ quy định của công ty.
轨道,guǐ dào,"quỹ đạo, đường ray",火车正在轨道上运行。,Tàu hỏa đang chạy trên đường ray.
跪,guì,quỳ,他跪在地上请求原谅。,Anh ấy quỳ xuống đất cầu xin sự tha thứ.
贵族,guì zú,quý tộc,他是个真正的贵族。,Anh ấy là một quý tộc thực sự.
棍棒,gùn bàng,"gậy, côn",他用棍棒打破了窗户。,Anh ấy dùng gậy đập vỡ cửa sổ.
国防,guó fáng,quốc phòng,国防是国家安全的重要保障。,Quốc phòng là đảm bảo quan trọng cho an ninh quốc gia.
国务院,guó wù yuàn,quốc vụ viện,国务院发布了新的政策。,Quốc vụ viện đã ban hành chính sách mới.
果断,guǒ duàn,"quyết đoán, quả quyết",他果断地做出了决定。,Anh ấy đã quyết định một cách quả quyết.
过度,guò dù,"quá mức, quá độ",我们需要控制过度消费。,Chúng ta cần kiểm soát việc tiêu thụ quá mức.
过渡,guò dù,"chuyển tiếp, quá độ",我们需要一个平稳的过渡期。,Chúng ta cần một giai đoạn chuyển tiếp ổn định.
过奖,guò jiǎng,quá khen,你太过奖了，我只是做了本职工作。,"Bạn quá khen rồi, tôi chỉ làm công việc của mình thôi."
过滤,guò lǜ,"lọc, sàng lọc",这个过滤器能有效去除水中的杂质。,Bộ lọc này có thể loại bỏ tạp chất trong nước một cách hiệu quả.
过失,guò shī,"lỗi lầm, sai lầm",他因为一次小小的过失被解雇了。,Anh ấy bị sa thải vì một sai sót nhỏ.
过问,guò wèn,"can thiệp, hỏi han",他对公司的事务一概不过问。,Anh ấy hoàn toàn không hỏi han gì về các công việc của công ty.
过瘾,guò yǐn,"đã, sướng, thoả thích",这部电影真是让人看得过瘾。,Bộ phim này thực sự khiến người xem đã mắt.
过于,guò yú,"quá, hơn",这件衣服过于紧了。,Chiếc áo này quá chật.
嗨,hāi,"chào, này",嗨，大家好！,Chào mọi người!
海拔,hǎi bá,độ cao so với mặt biển,这个山峰的海拔有三千米。,Đỉnh núi này cao ba nghìn mét so với mực nước biển.
海滨,hǎi bīn,bờ biển,我们在海滨度假。,Chúng tôi đi nghỉ mát ở bờ biển.
含糊,hán hu,"mơ hồ, không rõ ràng",他的回答非常含糊。,Câu trả lời của anh ấy rất mơ hồ.
寒暄,hán xuān,"hỏi han, trò chuyện",寒暄几句后，他们开始谈正事。,"Sau vài câu xã giao, họ bắt đầu nói chuyện chính."
含义,hán yì,"hàm ý, ý nghĩa",这个词的含义是什么？,Nghĩa của từ này là gì?
罕见,hǎn jiàn,"hiếm thấy, hiếm gặp",这种病非常罕见。,Bệnh này rất hiếm gặp.
捍卫,hàn wèi,"bảo vệ, bảo hộ",我们必须捍卫自己的权利。,Chúng ta phải bảo vệ quyền lợi của mình.
航空,háng kōng,hàng không,他对航空非常感兴趣。,Anh ấy rất quan tâm đến hàng không.
行列,háng liè,"hàng, dòng",我们参加了阅兵行列。,Chúng tôi đã tham gia vào đoàn diễu hành.
航天,háng tiān,hàng không vũ trụ,航天技术正在迅速发展。,Công nghệ vũ trụ đang phát triển nhanh chóng.
航行,háng xíng,"hàng hải, đi biển",他们的船正在大海上航行。,Thuyền của họ đang đi trên biển.
豪迈,háo mài,"hào hiệp, hào phóng",他豪迈地接受了挑战。,Anh ấy dũng cảm chấp nhận thử thách.
毫米,háo mǐ,milimét,这个零件的尺寸是10毫米。,Kích thước của bộ phận này là 10 mm.
毫无,háo wú,"không hề, chẳng có",他对这件事毫无兴趣。,Anh ấy không hứng thú với chuyện này chút nào.
耗费,hào fèi,"tiêu tốn, tiêu hao",这项工程耗费了大量人力和物力。,Dự án này đã tiêu tốn rất nhiều nhân lực và vật lực.
好客,hào kè,hiếu khách,他是个非常好客的主人。,Anh ấy là một chủ nhà rất hiếu khách.
号召,hào zhào,kêu gọi,政府号召大家节约用水。,Chính phủ kêu gọi mọi người tiết kiệm nước.
呵,hē,ha (tiếng kêu ngạc nhiên),哥哥，你好吗？,"Anh ơi, anh khỏe không?"
和蔼,hé ǎi,"hòa nhã, dễ gần",她是个和蔼可亲的老太太。,Bà ấy là một cụ bà hiền hậu và dễ gần.
合并,hé bìng,"hợp nhất, sát nhập",这两家公司合并了。,Hai công ty này đã sáp nhập.
合成,hé chéng,"hợp thành, tổng hợp",这些元素可以合成新的化合物。,Những nguyên tố này có thể tổng hợp thành hợp chất mới.
合乎,hé hū,"hợp với, phù hợp với",他的行为完全合乎规定。,Hành vi của anh ấy hoàn toàn phù hợp với quy định.
合伙,hé huǒ,"hợp tác, cùng nhau",他们决定合伙开一家餐馆。,Họ quyết định hùn vốn mở một nhà hàng.
和解,hé jiě,hòa giải,双方经过谈判终于和解了。,Hai bên đã hòa giải sau khi đàm phán.
和睦,hé mù,hòa thuận,他们一家人生活得很和睦。,Gia đình họ sống rất hòa thuận.
和气,hé qì,"hòa nhã, hòa thuận",他是个和气的人。,Anh ấy là một người dễ gần.
合身,hé shēn,"vừa người, vừa vặn",这件衣服穿在你身上很合身。,Bộ đồ này mặc lên người bạn rất vừa vặn.
合算,hé suàn,"đáng giá, có lợi",这个方案很合算。,Phương án này rất có lợi.
和谐,hé xié,"hòa hợp, hài hòa",他们之间的关系非常和谐。,Mối quan hệ giữa họ rất hòa hợp.
嘿,hēi,"hì, này (tiếng gọi)",嘿，你在干什么？,"Này, bạn đang làm gì vậy?"
痕迹,hén jì,"vết tích, dấu vết",他在犯罪现场留下了痕迹。,Anh ấy đã để lại dấu vết tại hiện trường vụ án.
狠心,hěn xīn,nhẫn tâm,他狠心离开了家。,Anh ấy đã nhẫn tâm rời bỏ gia đình.
恨不得,hèn bu de,hận không thể,我恨不得马上见到他。,Tôi rất muốn gặp anh ấy ngay lập tức.
哼,hēng,"hừ, hừm",哼，我才不信呢！,"Hừ, tôi không tin đâu!"
哄,hōng,"dỗ, lừa",他哄孩子睡觉。,Anh ấy dỗ con ngủ.
烘,hōng,"nướng, sấy khô",妈妈正在烘衣服。,Mẹ đang sấy quần áo.
轰动,hōng dòng,"náo động, chấn động",这个消息在网上引起了轰动。,Tin tức này gây xôn xao trên mạng.
红包,hóng bāo,"bao lì xì, phong bì đỏ",奶奶给了我一个大红包。,Bà cho tôi một phong bao lì xì lớn.
宏观,hóng guān,vĩ mô,他对宏观经济学非常感兴趣。,Anh ấy rất quan tâm đến kinh tế vĩ mô.
洪水,hóng shuǐ,lũ lụt,大雨引发了洪水。,Mưa lớn gây ra lũ lụt.
宏伟,hóng wěi,"hùng vĩ, to lớn",这座建筑宏伟壮观。,Tòa nhà này hùng vĩ tráng lệ.
喉咙,hóu lóng,cổ họng,他喉咙痛，声音沙哑。,Anh ấy bị đau họng và giọng khàn.
吼,hǒu,"gào thét, hét lên",他吼了一声，表示不满。,"Anh ấy hét lên một tiếng, biểu thị sự không hài lòng."
后代,hòu dài,"đời sau, hậu thế",这些文化遗产是我们的后代的宝贵财富。,Những di sản văn hóa này là tài sản quý giá cho thế hệ sau của chúng ta.
后顾之忧,hòu gù zhī yōu,lo lắng về sau,他的工作没有后顾之忧。,Công việc của anh ấy không có lo lắng về sau.
后面,hòu miàn,"phía sau, đằng sau",她站在我后面。,Cô ấy đứng sau tôi.
后勤,hòu qín,hậu cần,后勤部门负责保障工作。,Bộ phận hậu cần chịu trách nhiệm đảm bảo công việc.
候选,hòu xuǎn,"ứng cử, đề cử",他是市长候选人之一。,Anh ấy là một trong những ứng cử viên cho chức thị trưởng.
忽略,hū lüè,"lơ là, bỏ qua",他忽略了这个重要细节。,Anh ấy đã bỏ qua chi tiết quan trọng này.
呼啸,hū xiào,"hú lên, rít lên",火车在山谷中呼啸而过。,Tàu lửa rít lên khi đi qua thung lũng.
呼吁,hū yù,"kêu gọi, hô hào",他呼吁大家关注环境保护。,Anh ấy kêu gọi mọi người quan tâm đến bảo vệ môi trường.
胡乱,hú luàn,"lung tung, bừa bãi",他说话总是胡乱。,Anh ấy luôn nói chuyện một cách bừa bãi.
湖泊,hú pō,hồ nước,湖泊周围有美丽的风景。,Quanh hồ có phong cảnh đẹp.
互联网,hù lián wǎng,mạng internet,互联网改变了我们的生活方式。,Internet đã thay đổi cách sống của chúng ta.
华丽,huá lì,"lộng lẫy, hoa lệ",她穿着一件华丽的晚礼服。,Cô ấy mặc một chiếc váy dạ hội lộng lẫy.
华侨,huá qiáo,Hoa kiều,华侨在国外建立了很多华人社区。,Người Hoa kiều đã xây dựng nhiều cộng đồng người Hoa ở nước ngoài.
化肥,huà féi,phân bón hóa học,化肥提高了农作物的产量。,Phân bón hóa học đã nâng cao sản lượng cây trồng.
划分,huà fēn,phân chia,我们需要划分明确的职责。,Chúng ta cần phân chia trách nhiệm rõ ràng.
画蛇添足,huà shé tiān zú,vẽ rắn thêm chân,这个故事有点画蛇添足。,Câu chuyện này hơi thừa thãi.
化石,huà shí,hóa thạch,这些化石有上百万年的历史。,Những hóa thạch này có lịch sử hàng triệu năm.
话筒,huà tǒng,"micro, ống nói",他用话筒讲话。,Anh ấy dùng micro để nói.
化验,huà yàn,"xét nghiệm, hóa nghiệm",化验结果显示他有轻度贫血。,Kết quả xét nghiệm cho thấy anh ấy bị thiếu máu nhẹ.
化妆,huà zhuāng,"hóa trang, trang điểm",她每天早上花时间化妆。,Cô ấy dành thời gian trang điểm mỗi sáng.
怀孕,huái yùn,"mang thai, có thai",她刚刚怀孕三个月。,Cô ấy vừa mang thai được ba tháng.
欢乐,huān lè,"vui vẻ, hoan lạc",孩子们在公园里玩得很欢乐。,Trẻ em chơi đùa rất vui vẻ trong công viên.
环节,huán jié,"phân đoạn, mắt xích",这个环节非常关键。,Giai đoạn này rất quan trọng.
还原,huán yuán,"hoàn nguyên, trở lại",这个实验还原了历史事件。,Thí nghiệm này tái hiện lại sự kiện lịch sử.
缓和,huǎn hé,"dịu lại, hoà dịu",双方的紧张关系得到了缓和。,Mối quan hệ căng thẳng giữa hai bên đã được xoa dịu.
患者,huàn zhě,bệnh nhân,患者需要定期检查身体。,Bệnh nhân cần kiểm tra sức khỏe định kỳ.
荒凉,huāng liáng,hoang vắng,这片土地非常荒凉。,Mảnh đất này rất hoang vu.
慌忙,huāng máng,"vội vàng, hốt hoảng",他慌忙地收拾东西。,Anh ấy vội vàng thu dọn đồ đạc.
荒谬,huāng miù,"hoang đường, phi lý",这种说法太荒谬了。,Cách nói này quá vô lý.
荒唐,huāng táng,"hoang đường, phi lý",他的行为非常荒唐。,Hành vi của anh ấy rất kỳ quái.
黄昏,huáng hūn,"hoàng hôn, chiều tối",黄昏时分，天空变得非常美丽。,"Lúc hoàng hôn, bầu trời trở nên rất đẹp."
恍然大悟,huǎng rán dà wù,bừng tỉnh hiểu ra,我恍然大悟，原来是这样。,"Tôi chợt hiểu ra, hóa ra là như vậy."
辉煌,huī huáng,"huy hoàng, rực rỡ",他的成就辉煌。,Thành tựu của anh ấy rất rực rỡ.
挥霍,huī huò,hoang phí,他挥霍了所有的钱。,Anh ấy đã tiêu xài hoang phí hết số tiền.
回报,huí bào,"đền đáp, báo đáp",他得到了很好的回报。,Anh ấy nhận được sự đền đáp xứng đáng.
回避,huí bì,"tránh né, né tránh",他试图回避这个问题。,Anh ấy cố gắng tránh né vấn đề này.
回顾,huí gù,"hồi tưởng, nhìn lại",他回顾了自己的一生。,Anh ấy nhìn lại cuộc đời mình.
回收,huí shōu,"tái chế, thu hồi",我们需要回收废旧电池。,Chúng ta cần tái chế pin cũ.
悔恨,huǐ hèn,"hối hận, ân hận",他对自己的错误感到悔恨。,Anh ấy cảm thấy hối hận vì sai lầm của mình.
毁灭,huǐ miè,"hủy diệt, tiêu diệt",这个计划失败了，导致了毁灭性的后果。,"Kế hoạch này thất bại, dẫn đến hậu quả tàn phá."
汇报,huì bào,"báo cáo, thông báo",他向上级汇报了工作进展。,Anh ấy báo cáo tiến độ công việc cho cấp trên.
贿赂,huì lù,hối lộ,他被指控接受了贿赂。,Anh ấy bị buộc tội nhận hối lộ.
会晤,huì wù,"hội đàm, gặp gỡ",两国领导人会晤了。,Lãnh đạo hai nước đã gặp gỡ.
昏迷,hūn mí,hôn mê,他昏迷了三天。,Anh ấy đã hôn mê ba ngày.
浑身,hún shēn,"toàn thân, khắp người",他浑身是汗。,Anh ấy đẫm mồ hôi.
混合,hùn hé,"pha trộn, hỗn hợp",这个药是由多种成分混合而成的。,Thuốc này được pha trộn từ nhiều thành phần khác nhau.
混乱,hùn luàn,hỗn loạn,房间里一片混乱。,Phòng thì hỗn loạn.
混淆,hùn xiáo,"lẫn lộn, nhầm lẫn",他把事实和谣言混淆了。,Anh ấy đã nhầm lẫn sự thật với tin đồn.
混浊,hùn zhuó,"đục, vẩn đục",这水看起来有点混浊。,Nước này trông có vẻ đục.
活该,huó gāi,đáng đời,你活该受到惩罚。,Bạn đáng bị trừng phạt.
活力,huó lì,"sinh lực, sức sống",他充满了活力。,Anh ấy tràn đầy năng lượng.
火箭,huǒ jiàn,tên lửa,火箭发射成功。,Tên lửa phóng thành công.
火焰,huǒ yàn,"ngọn lửa, hỏa diễm",火焰在壁炉中跳动。,Ngọn lửa nhảy múa trong lò sưởi.
火药,huǒ yào,thuốc nổ,古代人用火药制造武器。,Người cổ đại dùng thuốc nổ để chế tạo vũ khí.
货币,huò bì,tiền tệ,中国的货币是人民币。,Tiền tệ của Trung Quốc là nhân dân tệ.
或许,huò xǔ,"có lẽ, có thể",他或许会来。,Có thể anh ấy sẽ đến.
基地,jī dì,căn cứ,我们在基地上进行训练。,Chúng tôi tập luyện tại căn cứ.
机动,jī dòng,"linh động, cơ động",这个装置可以自动机动。,Thiết bị này có thể tự động di chuyển.
饥饿,jī è,"đói khát, đói",饥饿使人感到非常难受。,Đói khiến người ta cảm thấy rất khó chịu.
激发,jī fā,"kích thích, khơi dậy",他的话激发了我的斗志。,Lời nói của anh ấy đã khơi dậy tinh thần chiến đấu của tôi.
机构,jī gòu,"cơ quan, tổ chức",公司内部有很多机构。,Bên trong công ty có nhiều tổ chức.
机关,jī guān,"cơ quan, bộ máy",他在政府机关工作。,Anh ấy làm việc trong cơ quan chính phủ.
基金,jī jīn,"quỹ, ngân quỹ",我们需要更多的基金来支持这个项目。,Chúng tôi cần nhiều quỹ hơn để hỗ trợ dự án này.
激励,jī lì,"khuyến khích, động viên",他的成功激励了我。,Sự thành công của anh ấy đã khích lệ tôi.
机灵,jī ling,"lanh lợi, tinh nhanh",他是一个机灵的孩子。,Cậu bé là một đứa trẻ lanh lợi.
机密,jī mì,"bí mật, cơ mật",这个文件是机密的。,Tài liệu này là bí mật.
激情,jī qíng,"nhiệt tình, hăng hái",他的激情感染了所有人。,Nhiệt huyết của anh ấy đã lan tỏa đến mọi người.
讥笑,jī xiào,"châm chọc, chế giễu",他的话让大家讥笑。,Lời nói của anh ấy khiến mọi người cười nhạo.
机械,jī xiè,"máy móc, cơ giới",这台机器操作简单。,Cỗ máy này vận hành đơn giản.
基因,jī yīn,"gen, di truyền",基因决定了我们的外貌。,Gen quyết định ngoại hình của chúng ta.
机遇,jī yù,cơ hội,这次会议给了我们很多机遇。,Cuộc họp này đã mang lại nhiều cơ hội cho chúng tôi.
机智,jī zhì,"lanh trí, tinh khôn",他回答问题非常机智。,Anh ấy trả lời câu hỏi rất thông minh.
即便,jí biàn,"dù cho, cho dù",即便你不同意，也请听我说完。,"Dù bạn không đồng ý, cũng xin hãy nghe tôi nói hết."
级别,jí bié,"cấp bậc, cấp độ",他在公司里的级别很高。,Anh ấy có cấp bậc cao trong công ty.
疾病,jí bìng,"bệnh tật, ốm đau",这种疾病很难治愈。,Bệnh này rất khó chữa.
嫉妒,jí dù,"đố kỵ, ghen tị",她总是嫉妒别人的成功。,Cô ấy luôn ghen tị với thành công của người khác.
极端,jí duān,cực đoan,他的看法太极端了。,Quan điểm của anh ấy quá cực đoan.
急功近利,jí gōng jìn lì,"vội vàng, nôn nóng",这种做法太急功近利了。,Cách làm này quá tham lợi trước mắt.
籍贯,jí guàn,quê quán,我的籍贯是北京。,Quê quán của tôi là Bắc Kinh.
即将,jí jiāng,"sắp sửa, sắp tới",比赛即将开始。,Trận đấu sắp bắt đầu.
急剧,jí jù,"nhanh chóng, mãnh liệt",气温急剧下降。,Nhiệt độ giảm đột ngột.
急切,jí qiè,"cấp thiết, khẩn cấp",他急切地想知道答案。,Anh ấy nóng lòng muốn biết câu trả lời.
集团,jí tuán,tập đoàn,这个集团在国际市场上非常有影响力。,Tập đoàn này có ảnh hưởng lớn trên thị trường quốc tế.
极限,jí xiàn,"cực hạn, giới hạn",他挑战了极限。,Anh ấy đã thách thức giới hạn.
吉祥,jí xiáng,"cát tường, may mắn",这个符号象征着吉祥。,Biểu tượng này đại diện cho sự may mắn.
急于求成,jí yú qiú chéng,"nóng lòng, sốt ruột",他急于求成，结果事与愿违。,"Anh ấy quá vội vàng đạt thành công, kết quả là sự việc không như mong đợi."
及早,jí zǎo,"sớm, trước",我们需要及早完成任务。,Chúng ta cần hoàn thành nhiệm vụ sớm.
急躁,jí zào,"nóng nảy, vội vàng",他太急躁了，做事总是三分钟热度。,"Anh ấy quá nóng nảy, làm việc lúc nào cũng chỉ nhiệt tình được ba phút."
给予,jǐ yǔ,"cho, tặng",我们应该给予他更多的支持。,Chúng ta nên ủng hộ anh ấy nhiều hơn.
继承,jì chéng,kế thừa,他继承了父亲的公司。,Anh ấy thừa kế công ty của cha mình.
季度,jì dù,quý (3 tháng),每个季度我们都会有一次总结会议。,Mỗi quý chúng tôi đều có một cuộc họp tổng kết.
忌讳,jì huì,kiêng kỵ,这个话题在公司里是忌讳的。,Chủ đề này là điều cấm kỵ trong công ty.
计较,jì jiào,"tính toán, so đo",他总是计较小事。,Anh ấy luôn so đo những việc nhỏ nhặt.
寂静,jì jìng,"yên tĩnh, tĩnh mịch",夜晚的森林非常寂静。,Khu rừng vào ban đêm rất yên tĩnh.
季军,jì jūn,"hạng ba, giải ba",他在比赛中获得了季军。,Anh ấy đạt giải ba trong cuộc thi.
技能,jì néng,kỹ năng,他在计算机方面有很高的技能。,Anh ấy có kỹ năng cao trong lĩnh vực máy tính.
技巧,jì qiǎo,"kỹ xảo, khéo léo",他的讲话技巧非常好。,Kỹ năng nói của anh ấy rất tốt.
寄托,jì tuō,"gửi gắm, nhờ cậy",我把希望寄托在你身上。,Tôi đặt hy vọng vào bạn.
继往开来,jì wǎng kāi lái,tiếp nối phát triển,我们要继往开来，继续努力。,"Chúng ta phải kế thừa và phát triển, tiếp tục nỗ lực."
迹象,jì xiàng,"dấu hiệu, dấu vết",这些迹象表明了经济正在好转。,Những dấu hiệu này cho thấy kinh tế đang cải thiện.
记性,jì xìng,trí nhớ,他的记性非常好，从来不忘记重要的事情。,"Trí nhớ của anh ấy rất tốt, không bao giờ quên những việc quan trọng."
纪要,jì yào,"tóm tắt, ghi chép",会议的纪要已经发给了所有参加者。,Biên bản cuộc họp đã được gửi đến tất cả người tham gia.
记载,jì zǎi,"ghi chép, ghi lại",这个故事被详细地记载在书中。,Câu chuyện này được ghi chép chi tiết trong sách.
家常,jiā cháng,thường ngày,这道菜是我们家常的做法。,Món ăn này là cách nấu thường ngày của nhà chúng tôi.
加工,jiā gōng,"gia công, chế biến",这个产品需要经过精细的加工。,Sản phẩm này cần qua gia công tỉ mỉ.
家伙,jiā huǒ,"dụng cụ, khí cụ",他是个非常聪明的家伙。,Anh ấy là một người rất thông minh.
加剧,jiā jù,trầm trọng thêm,经济问题的加剧让人们感到不安。,Sự gia tăng của các vấn đề kinh tế làm mọi người cảm thấy bất an.
家属,jiā shǔ,"gia thuộc, người nhà",他是军人的家属，享有特别的待遇。,"Anh ấy là người thân của quân nhân, được hưởng chế độ đãi ngộ đặc biệt."
佳肴,jiā yáo,"món ngon, món ngon miệng",这顿佳肴真是美味无比。,Món ăn này thực sự rất ngon.
家喻户晓,jiā yù hù xiǎo,"ai cũng biết, khắp nơi đều biết",这位演员已经是家喻户晓的明星。,Diễn viên này đã là ngôi sao nổi tiếng khắp nơi.
夹杂,jiā zá,"xen lẫn, trộn lẫn",这些书夹杂着很多个人笔记。,Những cuốn sách này xen lẫn nhiều ghi chép cá nhân.
假设,jiǎ shè,"giả thiết, giả dụ",假设你是老板，你会怎么做？,"Giả sử bạn là ông chủ, bạn sẽ làm gì?"
假使,jiǎ shǐ,"nếu, giả sử",假使他知道了真相，他会非常生气。,"Giả sử anh ta biết sự thật, anh ta sẽ rất tức giận."
